Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,Latitude,Longitude
Mrs. Doubtfire,1993,Chrissy Field,Chrissy Field was originally an airfield for the Presidio Army Base.,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,,
Mrs. Doubtfire,1993,520-522A Green Street at Grant Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,,
Mrs. Doubtfire,1993,516 Green Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,51.5319071,0.037042732039333
Mrs. Doubtfire,1993,100 Embarcadero Street,,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,38.021745,-122.144555
Sister Act 2: Back in the Habit,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,,
Sister Act 2: Back in the Habit,1993,"Maritime Museum, Building 201 (Fort Mason)",,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,,
Sister Act 2: Back in the Habit,1993,Coit Tower,"The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,37.80237905,-122.40583435461312
Sister Act 2: Back in the Habit,1993,CCSF Alemany Campus,,Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,,
Sister Act 2: Back in the Habit,1993,"Carnelian Room, Bank of America Building (555 California Street, 53rd Floor)","The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,,
So I Married an Axe Murderer,1993,Vesuvio Café (255 Columbus Avenue),Jack Kerouac was a regular at the café.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
So I Married an Axe Murderer,1993,Swedenborgian Church (2107 Lyon Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,37.79041565,-122.44622985080252
So I Married an Axe Murderer,1993,St. John's Presbyterian Church (25 Lake Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
So I Married an Axe Murderer,1993,San Francisco Chronicle (901 Mission Street at 15th Street),The paper is called the San Francisco Globe in the movie.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
So I Married an Axe Murderer,1993,Rocco's Corner (Columbus Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
So I Married an Axe Murderer,1993,Prudente's Italian Deli (1462 Grant Ave at Union),"Prudente's Italian Deli, which has since closed, is called ""Meats of the World"" in the film.",TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
So I Married an Axe Murderer,1993,Fog City Diner (1300 Battery Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,37.8034359,-122.40185044353396
So I Married an Axe Murderer,1993,Edinburgh Castle (950 Geary Street),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,37.7861199,-122.418945
So I Married an Axe Murderer,1993,City Light Bookstore (261 Columbus Avenue),,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
So I Married an Axe Murderer,1993,Café Picaro 3120 16th Street,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
So I Married an Axe Murderer,1993,Alcatraz Island,Alcatraz Island was a military fort before it became a prison.,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,37.82672135,-122.42275899441964
So I Married an Axe Murderer,1993,"Aladdin Terrace (off of Taylor Street, Between Filbert and Union)",,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
So I Married an Axe Murderer,1993,305 Hugo Street,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,37.76511865306123,-122.46120410204082
So I Married an Axe Murderer,1993,"1462 Grant Avenue, at Union Street",,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,,
The Nightmare Before Christmas,1993,,,Touchstone Pictures,Buena Vista Pictures,Henry Selick,Tim Burton,Danny Elfman,Catherine O'Hara,,44.933143,7.540121
Forrest Gump,1994,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Paramount Pictures,Paramount Pictures,Robert Zemeckis,Eric Roth,Tom Hanks,Robin Wright,,37.80291855,-122.44840286435333
Getting Even with Dad,1994,California & Grant Streets,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Dutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,33.9164628,-117.2741844
Getting Even with Dad,1994,War Memorial Building (401 Van Ness Avenue),,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,,
Getting Even with Dad,1994,Transbay Terminal (Mission Street at 1st Street),"Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,,
Getting Even with Dad,1994,140 Maiden Lane,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,37.8089751,-122.19735379362596
Getting Even with Dad,1994,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,,
Getting Even with Dad,1994,"Neiman Marcus (150 Stockton Street, Union Square)",The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design.,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,37.78736295,-122.4059186080106
Getting Even with Dad,1994,Mason Street at Jackson,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,,
Getting Even with Dad,1994,M.H. de Young Memorial Museum (Golden Gate Park),,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,,
Getting Even with Dad,1994,Embarcadero Street Station- BART,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,,
Getting Even with Dad,1994,Candlestick Park (602 Jamestown Ave.),"Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park.",Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,,
Golden Gate,1994,Ross Alley (Chinatown),Ross Alley is the oldest alley in San Francisco.,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,37.7955389,-122.407372
Golden Gate,1994,University of California Hastings College of the Law,,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Deutch,David Henry Hwang,Matt Dillon,Joan Chen,,37.7812409,-122.41628873712278
Golden Gate,1994,Bush Street (between Grant & Kearny Streets),,American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,,
Golden Gate,1994,Buena Vista Park (Haight Street at Buena Vista),"Established in 1867, Buena Vista Park is the oldest official park in San Francisco.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,,
Golden Gate,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",American Playhouse Theatrical Films,The Samuel Goldwyn Company,John Madden,David Henry Hwang,Matt Dillon,Joan Chen,,37.81990665,-122.47858000733174
Interview With The Vampire,1994,Ferry Building,"Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters.",Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,37.7947815,-122.393678
Interview With The Vampire,1994,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,37.81990665,-122.47858000733174
Interview With The Vampire,1994,100 Market Street at 6th Street,,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,,
Interview With The Vampire,1994,6th Street On-ramp to Highway 280,,Geffen Pictures,Geffen Pictures,Neil Jordan,Anne Rice,Brad Pitt,Christian Slater,Tom Cruise,,
Junior,1994,2552 Hyde Street,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,37.8045651,-122.4199235
Junior,1994,United Nations Plaza (Civic Center),United Nations Plaza was built in 1975 and across its walkways are white lines into which the preamble to the preamble of the UN charter is carved.,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,37.780161250000006,-122.41377765047454
Junior,1994,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,,
Junior,1994,Hyatt Fisherman's Wharf (555 Northpoint Street),,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,,
Junior,1994,"Fairmont Hotel (950 Mason Street, Nob Hill)",,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,37.7923686,-122.41003009790424
Junior,1994,Chinatown Gate,"Designed in 1970, the Chinatown Gate (aka the Dragon Gate) is based on ceremonial gates found in Chinese villages.",Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,42.3511889,-71.05975148635245
Junior,1994,722 Steiner Street,,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,37.7764733,-122.43277782579484
